quarter,down,yardsToGo,possessionTeam,defensiveTeam,absoluteYardlineNumber,offenseFormation,playAction,dropbackType,qbSneak,yardsGained,pff_passCoverage,pff_coverage,leftReceivers,rightReceivers,secondsRemainingInQuarter,offense_mean_yards,defense_mean_allowed,log_matchup_ratio
2,1,5,CAR,ATL,15,Singleback,False,Other,False,3,Red Zone,Zone,3,1,319,4.265625,8.2,-0.4327593593759976
3,1,10,SF,LA,60,Shotgun,False,Other,False,1,Cover-3,Zone,2,2,864,5.566037735849057,4.328125,0.15608555996169604
2,3,14,CIN,CLE,44,Shotgun,False,Traditional,,6,Cover-3,Zone,3,1,53,6.160919540229885,5.443037974683544,0.08160434812416911
3,3,6,DEN,NYJ,67,Shotgun,False,Traditional,,5,Cover-1,Man,3,1,782,5.292307692307692,4.788235294117647,0.06271398595647298
4,2,7,NO,LV,89,Singleback,False,Other,False,1,Cover-3,Zone,3,1,655,5.72289156626506,5.574074074074074,0.01720777308758862
4,1,10,DET,WAS,50,Singleback,False,Other,False,2,Cover-0,Blitz,2,1,115,5.384615384615385,3.5555555555555554,0.24608559164548918
4,1,10,IND,TEN,77,Shotgun,False,Scramble,False,2,Quarters,Zone,2,2,617,3.0568181818181817,4.915492957746479,-0.2676372856274203
2,1,10,IND,TEN,56,Shotgun,False,Traditional,,0,Cover-1,Man,2,2,40,3.044943820224719,4.875,-0.26447091739531
3,2,4,SF,ATL,84,Shotgun,True,Traditional,,8,Cover-3,Zone,3,1,117,5.481481481481482,8.142857142857142,-0.27291348376369884
3,3,1,TB,GB,80,Singleback,False,Other,False,3,Cover-1,Man,2,2,720,4.975,5.666666666666667,-0.0831725806680006
1,2,14,NE,DET,75,Shotgun,False,Traditional,,10,Cover-3 Seam,Zone,2,2,122,5.964285714285714,5.805194805194805,0.01790655883879578
2,3,14,LA,BUF,50,Empty,False,Traditional,,12,Cover-3,Zone,3,2,342,5.189655172413793,4.553846153846154,0.08081491503408571
2,1,10,TEN,KC,84,Singleback,True,Traditional,,16,Cover-1,Man,3,1,891,5.584905660377358,3.546875,0.2710175963141549
3,2,8,JAX,LV,56,Shotgun,False,Traditional,,19,Cover-3,Zone,2,2,231,4.137931034482759,5.490909090909091,-0.17357306451034452
3,2,1,NO,CIN,56,Singleback,True,Rollout,,0,Cover-3,Zone,2,2,100,5.666666666666667,3.36046511627907,0.30938265951173904
1,1,10,LA,SF,35,Singleback,False,Other,False,2,Cover-3,Zone,3,1,166,5.305084745762712,4.649122807017544,0.08227695103291037
1,1,4,LA,ARI,106,Shotgun,False,Traditional,,0,Cover-1,Man,3,1,620,5.25,7.17948717948718,-0.21016138826027356
4,1,10,NYG,CAR,35,Singleback,False,Other,False,10,Cover-3,Zone,2,2,646,4.507936507936508,4.395348837209302,0.015109390958313311
4,1,10,TB,CAR,97,Singleback,False,Other,False,7,Cover-3,Zone,2,2,62,4.950617283950617,4.459770114942529,0.06372495683043117
1,2,4,BAL,BUF,100,I-Form,False,Other,False,3,Red Zone,Zone,2,1,152,6.324675324675325,4.666666666666667,0.19578217354862576
2,2,1,GB,CHI,105,Shotgun,True,Traditional,,5,Cover-1,Man,3,1,35,5.619565217391305,5.512820512820513,0.012461318889472203
3,1,10,ATL,NO,35,Singleback,True,Rollout,,9,Cover-1,Man,2,2,555,4.554216867469879,5.773333333333333,-0.14961084816342785
3,3,15,DET,WAS,88,Shotgun,False,Traditional,,22,Cover-3,Zone,2,2,98,5.333333333333333,3.5342465753424657,0.24320642038049423
4,1,10,JAX,HOU,90,Empty,False,Traditional,,0,Cover-2,Zone,3,2,621,4.389830508474576,5.463768115942029,-0.13568964444682932
4,2,3,KC,LV,56,Shotgun,False,Other,False,0,Cover-1,Man,2,2,164,6.773333333333333,5.732142857142857,0.11264676521024095
2,1,10,CHI,MIA,75,Shotgun,False,Other,False,2,Cover-3,Zone,2,2,600,4.2105263157894735,6.593406593406593,-0.2855340337653392
4,2,4,DEN,IND,48,I-Form,False,Other,False,7,Cover-3,Zone,2,1,322,5.287878787878788,3.6984126984126986,0.21292341548916333
4,1,10,TB,KC,76,Shotgun,False,Traditional,,13,Quarters,Zone,3,1,282,4.975609756097561,3.7384615384615385,0.16855641767302224
2,1,10,CLE,BAL,85,Singleback,False,Other,False,2,Cover-2,Zone,3,1,605,5.2625,6.614285714285714,-0.15152284838385732
2,1,10,PIT,MIA,88,I-Form,False,Other,False,12,Cover-1,Man,2,1,147,4.186046511627907,6.543478260869565,-0.283716786631956
2,2,15,MIA,PIT,43,Shotgun,False,Traditional,,2,Cover-3,Zone,2,2,15,4.881578947368421,5.983333333333333,-0.13084271973603345
4,3,10,SF,CAR,75,Shotgun,False,Traditional,,13,Cover-1,Man,3,1,893,5.527272727272727,4.488636363636363,0.12988283065977346
4,1,10,CAR,NYG,85,Singleback,False,Other,False,49,Cover-1,Man,3,1,751,4.246153846153846,3.9272727272727272,0.04500462152113616
4,1,10,MIN,WAS,98,Singleback,False,Traditional,,0,Red Zone,Zone,3,1,476,4.969230769230769,3.7837837837837838,0.16105290202083244
2,3,2,NYG,SEA,79,Shotgun,False,Traditional,,-8,Cover-3,Zone,2,2,22,4.59375,4.817073170731708,-0.028984661591345474
1,3,8,GB,NYG,84,Empty,False,Traditional,,35,Cover-3,Zone,3,2,856,5.612903225806452,4.732142857142857,0.107875390196999
2,2,1,CLE,CIN,32,Singleback,False,QB_Sneak,True,3,Cover-1,Man,2,2,854,5.222222222222222,3.32183908045977,0.2628302831756448
1,3,6,SEA,ARI,41,Shotgun,False,Traditional,,0,Cover-1,Man,3,1,660,5.212121212121212,7.0886075949367084,-0.20579552161096026
3,1,10,BUF,LA,32,Shotgun,False,Traditional,,7,Cover-3 Seam,Zone,2,2,564,6.711864406779661,4.276923076923077,0.2886400853049856
4,1,10,NYG,CHI,75,Singleback,True,Traditional,,0,Cover-3,Zone,3,1,824,4.4,5.506329113924051,-0.13933045269479005
1,2,10,CAR,CLE,32,Shotgun,False,Traditional,,-5,Quarters,Zone,3,1,893,4.924242424242424,5.45,-0.06423970362692207
4,1,10,MIA,PIT,82,I-Form,False,Other,False,2,Cover-3,Zone,2,1,807,4.8441558441558445,5.918032786885246,-0.12830657589932593
4,3,5,NYG,TEN,49,Shotgun,False,Traditional,,6,Cover-1,Man,2,2,743,4.333333333333333,4.808219178082192,-0.06274673840308118
2,2,20,ATL,NO,88,Shotgun,False,Traditional,,11,Cover-2,Zone,3,1,493,4.607142857142857,5.815789473684211,-0.14745668051934166
3,2,7,TB,ATL,59,Shotgun,False,Traditional,,6,Cover-1,Man,2,2,468,5.072289156626506,8.141304347826088,-0.32222214168607005
4,3,2,ARI,LA,31,Shotgun,False,Other,False,2,Cover-1,Man,3,1,340,4.853658536585366,4.318181818181818,0.07061754858041791
4,1,10,LA,DAL,66,Shotgun,False,Traditional,,34,Cover-3 Seam,Zone,3,1,281,5.163934426229508,4.725806451612903,0.055159986592789575
2,1,10,DAL,NYG,93,Singleback,False,Other,False,3,Quarters,Zone,2,2,641,3.736111111111111,5.2631578947368425,-0.20432399939145457
3,1,10,LA,CAR,85,Singleback,True,Rollout,,7,Cover-3,Zone,3,1,900,5.629032258064516,4.584269662921348,0.12905600878253026
3,2,8,NYJ,BUF,69,Shotgun,False,Traditional,,6,Quarters,Zone,2,2,819,5.492537313432836,4.641791044776119,0.10555578286895809
2,3,7,MIN,WAS,63,Shotgun,False,Traditional,,0,Cover-0,Blitz,3,1,510,4.893939393939394,3.7333333333333334,0.1590249403171262
2,2,14,CIN,PIT,71,Shotgun,False,Traditional,,0,Cover-2,Zone,2,2,791,6.159090909090909,5.854838709677419,0.033782864061057905
4,1,10,DEN,SEA,48,Singleback,True,Other,False,8,Quarters,Zone,2,2,561,5.313432835820896,4.662650602409639,0.08151464456101558
4,1,10,HOU,IND,85,Singleback,False,Other,False,6,Cover-3,Zone,2,2,462,3.753846153846154,3.75,0.0005696381263622355
2,1,10,ARI,KC,52,Shotgun,True,Traditional,,5,Cover-1,Man,2,1,58,4.819277108433735,3.878787878787879,0.1281496179218007
4,2,12,LA,SF,91,Shotgun,False,Traditional,,2,Cover-3,Zone,3,1,846,5.650793650793651,4.603448275862069,0.12904917152540424
4,2,7,TEN,IND,67,Shotgun,False,Other,False,1,Cover-1,Man,2,2,376,5.777777777777778,3.7846153846153845,0.25756560264313144
3,2,1,DEN,JAX,11,Other,False,Other,False,1,Goal Line,Blitz,2,0,310,5.352941176470588,4.178571428571429,0.15151327649083723
2,2,6,WAS,JAX,38,Shotgun,False,Traditional,,6,Cover-3,Zone,3,1,815,4.107142857142857,4.141176470588236,-0.0047772186787565125
4,2,22,MIA,BUF,58,Shotgun,False,Other,False,0,Cover-2,Zone,3,1,735,4.8076923076923075,4.661764705882353,0.018867099564213365
1,1,10,PHI,MIN,28,Empty,False,Traditional,,5,Quarters,Zone,3,2,897,6.96,5.914285714285715,0.11092192172068152
2,3,6,NYJ,GB,96,Shotgun,False,Scramble,,0,Cover-2,Zone,3,1,359,5.5,5.618181818181818,-0.013807969739728388
3,1,10,NYG,JAX,84,Singleback,True,Rollout,,4,Cover-3 Seam,Zone,2,2,511,4.358208955223881,4.162790697674419,0.02691687995620858
1,1,9,SF,KC,19,Singleback,False,Other,False,1,Cover-0,Blitz,2,2,434,5.660714285714286,3.8955223880597014,0.2279248693961215
1,1,10,IND,KC,52,Singleback,True,Rollout,False,3,Cover-6 Right,Zone,3,1,282,3.011111111111111,3.8529411764705883,-0.13106827956163863
1,2,1,IND,HOU,23,Shotgun,False,Other,False,4,Red Zone,Zone,2,2,72,3.010989010989011,5.385714285714286,-0.33294018765053623
1,1,10,DAL,NYG,73,Singleback,False,Other,False,6,Cover-3,Zone,2,2,460,3.7260273972602738,5.224137931034483,-0.20108873953004763
1,2,8,PIT,CIN,37,Shotgun,False,Other,False,3,Cover 6-Left,Blitz,2,2,393,4.275862068965517,3.3181818181818183,0.14113078205198273
1,2,7,LV,LAC,57,I-Form,False,Traditional,,1,Cover-3,Zone,2,1,383,6.328767123287672,6.6,-0.028660227415401727
2,3,1,CIN,MIA,75,Shotgun,False,Other,False,2,Cover-2,Zone,2,2,779,6.089887640449438,6.602150537634409,-0.05482452865884612
4,2,8,ARI,PHI,68,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,80,4.764705882352941,3.08955223880597,0.24301395266136486
1,2,7,BAL,MIA,33,Shotgun,False,Traditional,,0,Cover-1,Man,2,2,613,6.282051282051282,6.553191489361702,-0.028792714220579368
1,1,10,NO,ARI,62,Singleback,False,Other,False,4,Cover-3,Zone,2,2,826,5.6,7.0,-0.15082285717645139
4,1,10,SEA,LAC,36,Singleback,False,Other,False,74,Quarters,Zone,2,2,428,5.134328358208955,6.5,-0.1551985879889815
3,3,3,DEN,NYJ,78,Empty,False,Traditional,,7,Cover-1,Man,3,2,860,5.2898550724637685,4.790697674418604,0.062102055193361795
4,1,10,NYJ,CLE,57,Shotgun,False,Traditional,,0,Cover-6 Right,Zone,2,2,80,5.420289855072464,5.320987654320987,0.01186329318021578
3,3,4,MIA,CIN,90,Shotgun,False,Traditional,,2,Cover-2,Zone,3,1,529,4.746835443037975,3.3146067415730336,0.20441889132772617
4,3,9,NYG,SEA,59,Shotgun,False,Traditional,,10,Cover 6-Left,Blitz,2,1,900,4.352941176470588,4.7023809523809526,-0.04642909007147434
3,3,12,LAC,CLE,44,Empty,False,Scramble,,21,Cover-3,Zone,3,2,756,6.516129032258065,5.2560975609756095,0.14203609413095128
4,2,10,IND,HOU,25,Shotgun,False,Traditional,,14,Cover-3,Zone,2,2,882,3.0217391304347827,5.366197183098592,-0.3288232395503878
2,3,4,PHI,DET,31,Shotgun,False,Traditional,,16,Cover-1,Man,2,2,900,6.921568627450981,5.858974358974359,0.11328001530632623
3,1,10,KC,BUF,83,Shotgun,False,Other,False,1,Cover 6-Left,Blitz,2,2,863,6.684210526315789,4.594202898550725,0.24311154188173603
3,2,5,WAS,PHI,21,Shotgun,False,Traditional,,3,Cover-2,Zone,3,1,310,4.129411764705883,3.0441176470588234,0.16514316988669497
1,2,9,SF,CAR,60,Shotgun,False,Other,False,41,Cover-3,Zone,3,1,752,5.578947368421052,4.611111111111111,0.11970202406348066
4,2,3,CIN,BAL,42,Shotgun,False,Other,False,10,Cover 6-Left,Blitz,2,2,539,6.044444444444444,6.549295774647887,-0.054316703536114216
4,2,8,DAL,TB,60,Shotgun,False,Traditional,,0,Cover-1,Man,3,1,692,3.7567567567567566,5.105263157894737,-0.18197056878242668
1,1,3,CHI,NE,13,Empty,True,Run,False,3,Red Zone,Zone,3,2,136,4.181818181818182,4.738095238095238,-0.07460296435824948
3,1,10,ARI,MIN,40,Shotgun,False,Traditional,,0,Cover-6 Right,Zone,3,1,247,4.709302325581396,5.819444444444445,-0.1345311532890951
4,2,11,MIA,BUF,11,Singleback,False,QB_Sneak,True,0,Cover-3,Zone,3,1,103,4.7125,4.542857142857143,0.0222413417423771
1,3,10,IND,TEN,55,Shotgun,False,Traditional,,6,Cover-2,Zone,3,1,115,3.139784946236559,4.824324324324325,-0.24244759773490948
2,1,10,WAS,GB,76,Singleback,False,Other,False,3,Cover-1,Man,2,2,255,4.116279069767442,5.517857142857143,-0.17977976764947234
3,2,10,KC,TB,61,Shotgun,False,Traditional,,0,Cover-3,Zone,2,2,788,6.6103896103896105,5.038961038961039,0.17854487283336862
4,1,10,TEN,WAS,60,Singleback,False,Traditional,,3,Cover-3,Zone,3,1,815,5.6909090909090905,3.6842105263157894,0.26252937087977696
1,1,11,MIA,NYJ,108,Singleback,True,Rollout,,6,Cover-3,Zone,2,2,550,4.654320987654321,4.816091954022989,-0.020914350740901973
4,3,10,DAL,PHI,51,Empty,False,Traditional,,0,Cover-2,Zone,4,1,77,3.7066666666666666,3.0434782608695654,0.10412230663738062
5,2,10,CIN,PIT,23,Singleback,True,Rollout,,2,Quarters,Zone,3,1,247,6.087912087912088,5.761904761904762,0.03653186043296236
2,2,11,TEN,HOU,74,Shotgun,False,Run,,0,Cover-1,Man,2,2,510,5.642857142857143,5.486111111111111,0.018302371551687638
3,3,15,NYJ,BAL,95,Empty,False,Traditional,,9,Cover-2,Zone,4,1,676,5.3428571428571425,6.597222222222222,-0.1400679326403586
1,2,10,TB,NO,35,Singleback,True,Traditional,,0,Quarters,Zone,3,1,501,5.083333333333333,5.883116883116883,-0.09434814477700776
2,2,6,TEN,BUF,81,Singleback,False,Other,False,-4,Cover 6-Left,Blitz,2,2,403,5.543859649122807,4.47887323943662,0.1331306777137044
4,3,6,CHI,HOU,36,Shotgun,False,Traditional,,16,Cover-1,Man,3,1,596,4.166666666666667,5.410958904109589,-0.16009479924850328
3,2,3,DEN,NYJ,72,Singleback,False,Other,False,2,Cover-3,Zone,3,1,324,5.314285714285714,4.829545454545454,0.06007073425378791
1,2,10,CHI,SF,87,Shotgun,False,Other,False,3,Cover-3,Zone,3,1,889,4.3164556962025316,4.559322033898305,-0.03265548312658072
4,1,10,SEA,ARI,64,Singleback,False,Other,False,0,Cover-1,Man,3,1,142,6.147058823529412,6.962962962962963,-0.08544210812841778
3,1,10,MIA,NYJ,79,I-Form,False,Other,False,0,Cover-3,Zone,2,1,618,4.670731707317073,4.797752808988764,-0.016423577091308632
4,4,1,LAC,DEN,66,Shotgun,False,Traditional,,0,Prevent,Blitz,3,1,1,6.746031746031746,5.594202898550725,0.12577227985186784
3,2,10,MIN,MIA,59,Singleback,True,Traditional,,0,Cover-2,Zone,2,2,433,4.82089552238806,6.484210526315789,-0.19282925622934396
3,2,7,BAL,TB,20,Pistol,True,Traditional,,10,Red Zone,Zone,2,2,11,6.2025316455696204,4.9743589743589745,0.14324732554455868
3,1,10,WAS,DET,65,Singleback,False,Other,False,8,Cover-6 Right,Zone,2,2,659,4.045454545454546,5.987341772151899,-0.24343439267166758
2,2,1,KC,TB,76,Shotgun,False,Other,False,0,Cover-3,Zone,3,1,395,6.5256410256410255,5.037974683544304,0.1698100327432318
4,3,2,SEA,ARI,23,Shotgun,False,Other,False,12,Cover-3,Zone,2,2,487,6.057971014492754,6.878048780487805,-0.08666983693222872
4,1,10,LA,SF,89,Singleback,True,Traditional,,0,Cover-2,Zone,3,1,649,5.59375,4.533333333333333,0.13169754449726945
2,3,4,HOU,JAX,78,Shotgun,False,Other,False,1,Cover-1,Man,3,1,788,3.787878787878788,4.1022727272727275,-0.04527633182678199
4,2,4,TB,BAL,50,Shotgun,False,Scramble,,-4,Cover 6-Left,Blitz,2,2,109,5.023529411764706,6.63013698630137,-0.18251900772364105
4,3,6,CIN,ATL,18,Shotgun,False,Other,False,4,Red Zone,Zone,2,2,76,6.043478260869565,8.118279569892474,-0.20654665687305818
3,1,10,PHI,ARI,43,Shotgun,False,Traditional,,8,Cover-2,Zone,2,2,773,7.096153846153846,6.9397590361445785,0.015611762355230875
3,1,10,CAR,CIN,21,Singleback,False,Other,False,3,Cover-1,Man,2,2,743,4.776119402985074,3.3,0.2105077287023104
3,2,10,LAC,ATL,60,Shotgun,False,Other,False,2,Cover-3,Zone,3,1,549,6.640625,8.074468085106384,-0.13865631893940575
2,3,6,TB,LA,44,Shotgun,False,Traditional,,0,Cover-3 Seam,Zone,3,1,187,4.9186046511627906,4.2835820895522385,0.08359220141341586
4,1,10,CLE,NYJ,68,Singleback,False,Other,False,13,Cover-3,Zone,2,2,452,5.195121951219512,4.7444444444444445,0.05656333862661891
2,2,8,NO,ATL,37,Singleback,False,Other,False,2,Cover-3,Zone,3,1,697,5.597701149425287,8.010526315789473,-0.247356842728483
3,2,11,CIN,BAL,24,Empty,False,Scramble,,6,Quarters,Zone,3,2,306,6.021505376344086,6.486486486486487,-0.05025708664141339
1,1,10,ATL,NO,35,Pistol,True,Rollout,False,11,Quarters,Zone,3,1,900,4.682352941176471,5.8076923076923075,-0.13669955948398016
3,1,10,BAL,NO,35,Singleback,True,Rollout,,0,Quarters,Zone,3,1,85,6.160493827160494,5.8734177215189876,0.03184004686391904
4,1,10,CAR,ATL,35,Shotgun,False,Scramble,,0,Cover-3,Zone,3,1,36,4.75,7.947916666666667,-0.34545626066251856
4,2,11,CLE,CAR,68,Singleback,False,Traditional,,2,Cover-1,Man,2,1,152,5.289156626506024,5.010989010989011,0.03413399626694509
2,3,3,SF,SEA,95,Empty,False,Traditional,,14,Cover-1,Man,3,2,97,6.189655172413793,4.764705882352941,0.1684897951495447
2,1,10,DAL,LA,67,Singleback,False,Other,False,57,Cover 6-Left,Blitz,2,2,490,3.6578947368421053,4.220588235294118,-0.08113307020777266
2,1,10,MIA,NYJ,87,Shotgun,False,Traditional,,0,Quarters,Zone,2,2,19,4.614457831325301,4.835164835164835,-0.028573120148427507
4,3,8,MIA,PIT,80,Empty,False,Traditional,,4,Cover-1,Man,3,2,761,4.559523809523809,5.703125,-0.14087392175382707
4,3,13,WAS,IND,65,Empty,False,Traditional,,7,Cover-2,Zone,4,1,492,4.089887640449438,3.742424242424242,0.050249938131967015
1,1,12,TEN,HOU,15,I-Form,False,Other,False,2,Cover-3,Zone,2,1,29,5.379310344827586,5.554054054054054,-0.020639710710072475
2,3,5,DET,SEA,31,Shotgun,False,Traditional,,9,Cover-1,Man,2,2,478,5.485294117647059,4.872093023255814,0.07501056631309806
4,2,14,MIA,MIN,52,Empty,False,Traditional,,1,2-Man,Man,3,2,262,4.552941176470588,5.739726027397261,-0.1459417590393805
4,2,2,NYJ,MIA,83,Singleback,False,Other,False,1,Cover-2,Zone,2,2,723,5.394366197183099,6.416666666666667,-0.11492035303465868
4,3,1,LAC,KC,53,Shotgun,False,Scramble,,0,Cover-2,Zone,3,1,131,6.569230769230769,3.8405797101449277,0.335680258485601
3,2,5,NYG,BAL,80,Empty,False,Traditional,,10,Cover-3,Zone,4,1,861,4.942857142857143,6.48,-0.17691122323761946
3,3,10,DEN,IND,37,Shotgun,False,Traditional,,0,Cover-3,Zone,2,2,208,5.267605633802817,3.791044776119403,0.19674009062932307
2,3,9,DAL,WAS,27,Shotgun,True,Traditional,,0,Quarters,Zone,3,1,653,4.35064935064935,3.6153846153846154,0.10539068731676084
1,2,9,NE,CLE,97,Shotgun,True,Traditional,,7,Cover-3,Zone,3,1,597,6.011764705882353,5.445783132530121,0.06486361913983595
2,3,5,CHI,HOU,61,Shotgun,False,Traditional,,24,Cover-3,Zone,3,1,246,4.3,5.506666666666667,-0.15297578279125898
4,2,5,LA,SF,80,Singleback,True,Traditional,,0,Cover-2,Zone,3,1,688,5.507692307692308,4.459016393442623,0.13154714379857285
1,2,7,LV,HOU,83,Empty,False,Traditional,,0,Cover-2,Zone,3,2,828,6.256756756756757,5.75,0.05630003217550076
1,2,5,CAR,CLE,20,Singleback,True,Rollout,,0,Cover-1,Man,2,2,77,4.681159420289855,5.464285714285714,-0.09708510492058636
4,2,5,DEN,HOU,82,Singleback,False,Other,False,6,Cover-3,Zone,3,1,810,5.194444444444445,5.675324675324675,-0.05702632027038086
1,3,1,NO,BAL,79,Singleback,False,Other,False,0,Goal Line,Blitz,2,2,551,5.556818181818182,6.526315789473684,-0.10732961499071522
3,1,10,MIA,BAL,34,Singleback,True,Rollout,,13,Quarters,Zone,3,1,562,4.511627906976744,6.441558441558442,-0.22866879372632043
4,1,10,DET,MIN,60,Singleback,False,Other,False,3,Cover-3,Zone,3,1,382,5.536231884057971,5.675675675675675,-0.016203527665643983
3,2,10,CAR,TB,85,Shotgun,False,Traditional,,0,Cover-2,Zone,2,2,374,4.614285714285714,4.975,-0.04628545467395975
1,2,4,NO,LV,71,I-Form,False,Traditional,,0,Cover-3,Zone,2,1,767,5.49438202247191,5.631578947368421,-0.01602243846794728
1,3,1,JAX,IND,80,Pistol,False,Other,False,2,Cover-3,Zone,2,2,343,4.316666666666666,3.735294117647059,0.08279334832028702
4,3,10,JAX,HOU,86,Shotgun,False,Traditional,,11,Cover-2,Zone,2,2,13,4.278688524590164,5.67948717948718,-0.17601170361736643
1,2,6,CLE,NYJ,67,Singleback,False,Traditional,,13,Cover-3,Zone,3,1,613,5.25,4.782608695652174,0.05832159587599024
2,2,10,NYJ,CLE,20,Shotgun,False,Traditional,,0,Red Zone,Zone,2,2,19,5.333333333333333,5.4,-0.007968167744415363
4,1,10,ARI,LA,57,Shotgun,True,Traditional,,10,Cover-3,Zone,2,2,834,4.6022727272727275,4.9855072463768115,-0.04918104628013406
1,2,10,HOU,LAC,40,I-Form,False,Other,False,7,Quarters,Zone,2,1,349,3.746268656716418,7.684210526315789,-0.45977733016604927
3,2,4,LAC,DEN,95,I-Form,False,Other,False,3,Cover-3,Zone,2,1,573,6.46969696969697,5.514285714285714,0.10635145899466168
1,2,12,LV,HOU,71,Singleback,True,Traditional,,12,Quarters,Zone,2,2,757,6.173333333333333,5.746835443037975,0.04760874246551865
2,1,10,BAL,TB,97,Shotgun,False,Traditional,,3,Quarters,Zone,2,2,46,6.085365853658536,4.91358024691358,0.1380846362712018
2,2,10,TB,KC,33,Shotgun,False,Traditional,,10,Cover-1,Man,2,2,571,4.862068965517241,3.7857142857142856,0.1472301966318184
3,1,10,BAL,NO,94,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,562,6.048192771084337,5.8,0.027813316249265384
2,1,1,MIN,MIA,109,I-Form,True,Traditional,,1,Goal Line,Blitz,2,1,157,4.75,6.360824742268041,-0.18884051232453672
3,3,10,BUF,BAL,89,Shotgun,False,Traditional,,0,Cover-1,Man,3,1,589,6.716666666666667,6.5256410256410255,0.019855401972505796
3,2,8,LAC,DEN,75,Shotgun,False,Scramble,,0,Cover-3,Zone,2,2,50,6.417910447761194,5.47887323943662,0.1050356513636793
4,3,5,JAX,HOU,74,Shotgun,False,Scramble,False,17,Cover-1,Man,2,2,861,4.387096774193548,5.825,-0.17785375963681507
4,1,10,IND,NE,35,Shotgun,False,Traditional,,0,Cover-3,Zone,2,2,239,3.1702127659574466,4.7176470588235295,-0.2237761461917408
2,2,17,SEA,NYG,38,Shotgun,False,Other,False,7,Quarters,Zone,2,2,238,6.142857142857143,5.237288135593221,0.10430173026123597
4,2,20,BUF,MIA,63,Shotgun,False,Traditional,,12,Cover-2,Zone,2,2,18,6.60655737704918,6.3061224489795915,0.031773407278788954
3,3,8,NYG,GB,32,Shotgun,False,Run,False,3,Cover-3,Zone,3,1,515,5.014084507042254,6.068965517241379,-0.12365761607796844
1,2,10,NE,CHI,27,Shotgun,False,Traditional,,-1,Cover-3,Zone,3,1,857,6.023255813953488,5.4375,0.06711915234351354
4,1,10,ARI,LA,78,Shotgun,False,Other,False,3,Quarters,Zone,3,1,779,4.662921348314606,5.057142857142857,-0.050165708567263774
4,3,10,DEN,NYJ,61,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,42,5.205479452054795,4.870967741935484,0.041621125800210323
1,1,10,SEA,DEN,52,Pistol,True,Traditional,,28,Quarters,Zone,3,1,400,6.154929577464789,5.402777777777778,0.0857301272785953
3,1,10,CIN,NYJ,85,Singleback,False,Other,False,2,Quarters,Zone,3,1,41,6.0212765957446805,4.819148936170213,0.14301010249487478
3,3,6,NYJ,CIN,34,Empty,False,Traditional,,18,Cover-1,Man,3,2,209,5.260273972602739,3.25,0.2788762139532257
4,3,3,SF,DEN,42,Empty,False,Traditional,,5,Cover-1,Man,3,2,211,6.322033898305085,5.712328767123288,0.06764169711477543
3,1,10,NYJ,BUF,60,Shotgun,False,Other,False,1,Cover-1,Man,2,2,686,5.4324324324324325,4.361111111111111,0.13587435311652835
3,1,15,ATL,TB,23,Shotgun,True,Traditional,,9,Cover-3,Zone,2,2,895,4.755813953488372,4.890243902439025,-0.01718429318105709
2,3,2,MIA,BAL,43,Shotgun,False,Rollout,,1,Cover-1,Man,2,2,558,4.609195402298851,6.443037974683544,-0.21592025941069432
3,1,10,TEN,NYG,63,Singleback,False,Other,False,-8,Cover-3,Zone,3,1,456,5.322033898305085,5.266666666666667,0.0066753177763563985
4,3,4,CLE,CAR,79,Shotgun,False,Scramble,,19,Cover-3,Zone,3,1,691,5.341176470588235,4.978260869565218,0.04448380756946942
4,1,5,TEN,BUF,69,Singleback,False,Other,False,5,Cover-6 Right,Zone,3,1,853,5.1,4.315068493150685,0.10192763737193654
4,2,10,WAS,PHI,72,Shotgun,False,Traditional,,-3,Cover-1,Man,3,1,268,4.122222222222222,3.0,0.17146026484026514
4,3,6,IND,KC,49,Shotgun,False,Traditional,,7,Quarters,Zone,2,2,306,3.136842105263158,3.8732394366197185,-0.11332519914498308
4,3,2,MIA,NE,28,Shotgun,False,Other,False,1,Cover-3,Zone,2,2,718,4.568181818181818,4.662790697674419,-0.012423378924070893
2,1,10,KC,BUF,74,Shotgun,True,Traditional,,0,Cover-2,Zone,2,2,159,6.443037974683544,4.324324324324325,0.25407677823479363
4,2,10,DET,MIN,60,Shotgun,False,Traditional,,0,Cover 6-Left,Blitz,3,1,23,5.5,5.64,-0.016336415507058066
1,2,13,ATL,CAR,82,Shotgun,True,Traditional,,10,Cover-3,Zone,2,2,34,4.804597701149425,5.129032258064516,-0.04072886389470858
4,1,10,PHI,DET,35,Shotgun,True,Rollout,,12,Cover-2,Zone,2,2,856,7.113207547169812,6.0125,0.11522972075480342
2,2,5,LV,LAC,40,I-Form,True,Traditional,,15,Cover-3,Zone,2,1,537,6.25,7.672413793103448,-0.1430386817966633
3,1,8,SF,SEA,102,I-Form,False,Other,False,5,Red Zone,Zone,2,1,473,6.3,4.863636363636363,0.16776521973825959
4,1,10,JAX,IND,85,Shotgun,False,Traditional,,16,Cover-2,Zone,3,1,11,4.587301587301587,3.710144927536232,0.12285542215312921
1,1,10,LV,KC,62,I-Form,False,Other,False,1,Cover-3,Zone,1,1,56,6.363636363636363,3.9166666666666665,0.30289968185829297
