down,yardsToGo,absoluteYardlineNumber,quarter,offenseFormation,playAction,dropbackType,qbSneak,rushLocationType,pff_runConceptPrimary,pff_runPassOption,pff_passCoverage,pff_manZone,yardsGained,secondsRemainingInQuarter,leftReceivers,rightReceivers
2,4,67,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,1,452,2,2
2,10,53,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,2-Man,Man,14,48,3,1
1,2,2,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,INSIDE ZONE,0,Cover-0,Man,-1,418,2,2
2,11,8,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,15,560,3,1
3,4,42,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,8,574,3,1
3,1,37,2,I_FORM,0,,0,INSIDE_LEFT,FB RUN,0,Cover-1,Man,1,829,2,1
4,10,23,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,9,8,2,2
2,9,19,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-0,Man,12,539,2,2
2,1,50,1,SINGLEBACK,0,TRADITIONAL,0,NONE,MAN,1,Cover-1,Man,0,512,2,2
4,6,94,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Red Zone,Other,0,117,2,2
2,1,82,1,PISTOL,0,,0,OUTSIDE_RIGHT,INSIDE ZONE,0,Cover 6-Left,Zone,2,236,2,1
2,10,86,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,10,18,2,2
2,9,74,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,8,868,2,2
2,6,13,2,I_FORM,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Quarters,Zone,9,448,2,1
3,6,22,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,-11,218,3,1
2,6,88,3,SINGLEBACK,0,,0,OUTSIDE_LEFT,OUTSIDE ZONE,0,Cover-0,Man,-1,62,2,2
2,9,22,2,SHOTGUN,1,TRADITIONAL,0,NONE,INSIDE ZONE,1,Quarters,Zone,5,200,2,2
3,7,28,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,6,435,3,2
3,10,78,3,SHOTGUN,1,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,7,822,2,2
1,10,63,4,SINGLEBACK,0,,0,INSIDE_LEFT,INSIDE ZONE,0,Cover-3 Seam,Zone,6,194,2,2
3,5,80,1,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,73,3,2
1,10,53,2,SINGLEBACK,0,,0,INSIDE_RIGHT,INSIDE ZONE,1,Cover-3,Zone,2,137,2,2
3,1,47,3,I_FORM,0,QB_SNEAK,1,INSIDE_LEFT,SNEAK,0,Cover-3,Zone,5,91,1,1
1,10,71,1,SHOTGUN,0,,0,INSIDE_RIGHT,COUNTER,0,Cover-1,Man,2,327,3,1
3,3,93,4,SINGLEBACK,0,DESIGNED_ROLLOUT_LEFT,0,NONE,TRICK,0,Red Zone,Other,7,408,2,2
3,7,28,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,45,29,3,1
1,10,91,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,12,61,3,1
1,10,11,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,MAN,0,Cover 6-Left,Zone,5,500,2,1
2,10,43,1,PISTOL,0,,0,INSIDE_LEFT,MAN,0,Cover-3,Zone,2,734,2,1
1,10,32,3,SINGLEBACK,0,,0,OUTSIDE_LEFT,POWER,0,Cover-1,Man,8,165,2,2
1,10,60,3,I_FORM,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,8,775,2,1
3,10,63,3,EMPTY,0,SCRAMBLE,0,NONE,NONE,0,Cover-2,Zone,3,140,3,2
3,3,83,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,8,103,3,1
1,10,77,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,23,2,2
1,10,79,2,SINGLEBACK,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-3,Zone,1,900,2,2
3,14,18,4,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-1,Man,0,574,3,1
1,10,65,1,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,12,486,2,2
1,15,73,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,4,359,2,2
3,1,59,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,INSIDE ZONE,1,Cover-3,Zone,7,242,3,1
3,8,19,2,SHOTGUN,0,SCRAMBLE,0,INSIDE_RIGHT,NONE,0,Quarters,Zone,19,353,3,1
2,8,35,4,SINGLEBACK,0,,0,INSIDE_LEFT,MAN,0,Cover-2,Zone,5,268,3,1
3,3,37,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,17,818,2,2
1,10,74,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,7,894,3,1
2,8,22,2,EMPTY,0,SCRAMBLE,0,NONE,NONE,0,Quarters,Zone,2,354,3,2
2,2,19,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Prevent,Other,8,9,3,1
1,10,48,3,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,3,220,3,1
4,2,98,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-0,Man,0,116,3,1
2,5,30,2,SHOTGUN,0,,0,INSIDE_LEFT,COUNTER,0,Cover-3,Zone,3,345,2,2
1,10,42,4,SINGLEBACK,0,,0,INSIDE_RIGHT,PULL LEAD,0,Cover-3,Zone,13,591,2,2
1,10,53,2,SHOTGUN,0,,0,INSIDE_LEFT,OUTSIDE ZONE,1,Cover-3,Zone,3,811,3,1
2,7,72,2,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,1,Cover-1,Man,3,574,2,2
2,6,71,4,I_FORM,1,TRADITIONAL,0,NONE,MAN,0,Cover-3,Zone,-9,602,2,1
1,10,72,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-1,Man,3,58,3,1
1,10,38,1,SINGLEBACK,1,TRADITIONAL,0,NONE,INSIDE ZONE,0,Cover-2,Zone,24,86,2,2
1,10,65,1,SHOTGUN,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,54,427,2,2
3,10,38,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,-7,684,3,1
3,5,49,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,3,859,2,2
2,7,92,4,SINGLEBACK,1,DESIGNED_ROLLOUT_LEFT,0,NONE,OUTSIDE ZONE,0,Red Zone,Other,8,366,2,2
2,12,64,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,8,459,2,2
1,10,45,4,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-0,Man,5,400,2,1
3,25,60,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,3,113,2,2
1,10,87,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,13,244,2,1
2,3,12,3,SHOTGUN,1,TRADITIONAL,0,NONE,POWER,1,Cover-1,Man,0,292,2,2
2,3,74,1,SHOTGUN,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-6 Right,Zone,2,355,2,1
2,4,69,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,289,3,1
3,5,95,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Red Zone,Other,5,368,3,1
1,10,76,1,SINGLEBACK,1,TRADITIONAL,0,NONE,INSIDE ZONE,0,Cover-1,Man,16,211,2,2
1,10,75,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,INSIDE ZONE,1,Cover-1,Man,1,460,3,1
2,8,74,1,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,860,3,2
2,5,25,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,6,634,2,2
3,1,62,4,SINGLEBACK,0,QB_SNEAK,1,INSIDE_RIGHT,SNEAK,0,Cover-1,Man,2,331,2,1
2,8,40,1,EMPTY,1,DESIGNED_RUN,0,INSIDE_RIGHT,POWER,1,Quarters,Zone,3,627,3,2
1,10,65,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,2-Man,Man,0,651,3,1
2,8,25,2,PISTOL,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,8,527,2,2
2,5,16,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,0,26,2,2
2,20,46,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,5,334,2,2
1,10,75,4,SINGLEBACK,0,,0,OUTSIDE_LEFT,MAN,0,Cover-3 Seam,Zone,-2,128,2,2
3,9,68,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,311,3,1
2,13,68,4,PISTOL,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,0,566,2,1
2,4,95,3,I_FORM,0,,0,OUTSIDE_RIGHT,POWER,0,Red Zone,Other,3,135,2,1
1,10,16,2,SINGLEBACK,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,1,542,2,2
1,10,75,3,SINGLEBACK,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,11,541,2,2
2,10,70,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,0,103,3,1
3,15,67,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,0,540,3,1
1,10,38,4,SINGLEBACK,1,TRADITIONAL,0,NONE,INSIDE ZONE,0,Cover-2,Zone,-8,814,2,2
2,10,31,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-0,Man,0,503,3,1
2,3,47,2,SHOTGUN,0,DESIGNED_RUN,0,INSIDE_LEFT,POWER,0,Cover-3,Zone,4,900,3,1
3,3,14,4,PISTOL,0,,0,INSIDE_LEFT,MAN,0,Cover-1,Man,4,900,2,1
3,2,98,4,I_FORM,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Red Zone,Other,0,449,2,1
1,15,82,2,SHOTGUN,0,,0,INSIDE_LEFT,DRAW,0,Cover 6-Left,Zone,9,83,2,2
2,10,14,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,848,3,1
3,7,60,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,574,4,1
1,10,56,3,SHOTGUN,1,TRADITIONAL,0,NONE,INSIDE ZONE,1,Quarters,Zone,8,159,2,2
1,10,25,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,7,673,3,1
1,7,93,3,JUMBO,1,SCRAMBLE,0,NONE,MAN,0,Red Zone,Other,0,731,2,2
1,20,90,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,12,317,3,1
1,10,58,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,PULL LEAD,0,Cover-3,Zone,-1,476,3,1
2,10,60,1,SINGLEBACK,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-6 Right,Zone,5,74,3,1
1,10,22,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,6,682,2,2
2,8,40,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,167,2,2
1,3,3,4,SINGLEBACK,0,,0,INSIDE_LEFT,INSIDE ZONE,1,Goal Line,Other,2,241,2,2
1,10,75,3,SINGLEBACK,0,,0,INSIDE_LEFT,MAN,0,Cover-3,Zone,2,320,3,1
1,10,73,1,SHOTGUN,1,DESIGNED_RUN,0,OUTSIDE_RIGHT,COUNTER,0,Cover 6-Left,Zone,2,92,2,2
2,6,81,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,30,2,2
1,10,60,1,SHOTGUN,1,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,60,787,3,1
1,10,75,1,SHOTGUN,0,,0,INSIDE_RIGHT,MAN,1,Quarters,Zone,4,304,2,1
3,4,72,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,19,730,3,1
1,15,39,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,11,788,3,1
2,2,47,3,SHOTGUN,1,TRADITIONAL,0,NONE,POWER,0,Cover-2,Zone,0,613,2,2
3,11,68,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,541,3,1
1,10,24,2,SINGLEBACK,0,,0,INSIDE_RIGHT,POWER,0,Cover-1,Man,3,372,2,1
2,6,23,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,3,561,3,1
1,10,20,1,SINGLEBACK,0,,0,OUTSIDE_LEFT,POWER,0,Cover-1,Man,4,692,3,1
1,10,25,3,SINGLEBACK,0,,0,OUTSIDE_LEFT,INSIDE ZONE,0,Cover-3,Zone,6,900,3,1
3,20,26,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,6,540,2,2
2,7,70,2,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Quarters,Zone,5,900,3,1
2,6,85,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,0,451,3,1
1,10,69,4,SINGLEBACK,0,UNKNOWN,0,OUTSIDE_RIGHT,PULL LEAD,0,Cover-3,Zone,-5,263,3,1
1,10,53,1,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,1,Cover-2,Zone,6,230,2,2
3,2,69,1,SHOTGUN,0,,0,INSIDE_RIGHT,POWER,0,Cover-1,Man,3,143,2,2
2,3,81,2,SHOTGUN,0,,0,INSIDE_RIGHT,INSIDE ZONE,1,Cover-3,Zone,5,69,2,1
2,9,9,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Red Zone,Other,0,86,3,1
2,3,89,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Red Zone,Other,0,42,3,1
1,10,63,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,1,Cover-3,Zone,3,112,3,1
2,15,18,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,15,273,3,1
1,10,23,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,TRICK,0,Cover-3,Zone,12,366,2,2
1,10,12,4,SINGLEBACK,0,,0,OUTSIDE_LEFT,MAN,0,Cover-1,Man,12,122,2,1
3,2,45,3,SHOTGUN,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-1,Man,1,372,2,2
1,10,80,3,SINGLEBACK,1,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,20,895,2,2
3,10,12,3,EMPTY,0,SCRAMBLE,0,NONE,NONE,0,Cover-2,Zone,0,457,4,1
3,4,30,3,SHOTGUN,0,DESIGNED_RUN,0,INSIDE_RIGHT,DRAW,1,Cover-1,Man,6,648,2,2
3,11,24,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,821,3,1
2,3,27,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,-7,603,2,2
1,10,65,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,20,6,3,2
1,10,38,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-1,Man,0,82,3,1
1,1,1,2,I_FORM,0,,0,OUTSIDE_LEFT,OUTSIDE ZONE,0,Goal Line,Other,0,357,2,1
1,10,74,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-2,Zone,5,574,2,2
1,3,97,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,3,642,2,2
2,10,18,2,SHOTGUN,1,,0,OUTSIDE_RIGHT,TRICK,0,Cover-1,Man,2,143,3,1
2,10,89,1,I_FORM,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-6 Right,Zone,25,678,2,1
3,11,89,3,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-1,Man,0,230,3,1
2,11,84,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,0,513,3,1
3,2,6,5,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,1,Red Zone,Other,1,192,2,2
2,10,62,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,0,760,2,2
1,10,45,2,SHOTGUN,0,,0,INSIDE_RIGHT,INSIDE ZONE,1,Quarters,Zone,3,686,2,2
2,1,1,2,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,1,Cover-3,Zone,1,843,2,2
1,10,48,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,TRICK,0,Cover-3,Zone,21,448,2,2
1,10,25,3,SINGLEBACK,1,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,6,705,2,2
1,10,25,2,I_FORM,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Quarters,Zone,-1,440,2,1
2,10,68,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,4,28,3,1
1,10,63,3,SHOTGUN,0,,0,INSIDE_RIGHT,MAN,1,Cover-3,Zone,6,440,3,1
3,4,38,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,10,190,2,2
2,16,14,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,10,540,2,2
2,5,30,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,762,2,2
3,1,86,4,I_FORM,0,QB_SNEAK,1,OUTSIDE_LEFT,SNEAK,0,Cover-3,Zone,6,733,2,0
1,10,31,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,220,3,1
1,10,36,1,SINGLEBACK,1,,0,OUTSIDE_RIGHT,MAN,0,Cover-1,Man,3,861,2,1
3,1,25,1,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-0,Man,0,659,3,1
1,10,56,2,SHOTGUN,1,DESIGNED_ROLLOUT_LEFT,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,0,283,3,1
1,10,27,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,727,2,2
2,15,75,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,10,110,3,1
1,10,31,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,8,651,3,1
3,7,48,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,4,750,2,2
1,19,68,1,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,307,3,2
1,10,31,1,SHOTGUN,0,,0,INSIDE_LEFT,COUNTER,0,Cover-1,Man,4,724,2,2
1,10,25,1,SINGLEBACK,0,,0,INSIDE_LEFT,INSIDE ZONE,0,Quarters,Zone,3,476,2,2
3,7,45,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,2-Man,Man,8,741,3,1
3,3,38,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-0,Man,8,900,3,2
2,3,44,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,9,75,2,2
3,2,2,3,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Red Zone,Other,0,171,2,2
1,10,15,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,10,228,3,1
1,10,75,2,SHOTGUN,0,,0,INSIDE_LEFT,PULL LEAD,0,Cover-2,Zone,10,823,3,1
1,10,75,4,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,1,Cover-3,Zone,3,850,3,1
2,8,34,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,1,451,3,1
1,10,75,1,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-6 Right,Zone,2,401,3,1
2,9,24,3,SINGLEBACK,1,SCRAMBLE,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3 Seam,Zone,14,452,2,2
3,3,71,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,-12,415,3,1
3,3,79,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,881,2,2
2,6,91,1,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-2,Zone,5,80,2,2
2,11,54,1,SINGLEBACK,1,TRADITIONAL,0,NONE,MAN,0,Cover 6-Left,Zone,0,329,2,2
2,10,68,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,6,418,2,1
2,15,20,4,SHOTGUN,0,SCRAMBLE,0,OUTSIDE_RIGHT,DRAW,0,Cover-2,Zone,5,760,3,1
2,7,37,4,SHOTGUN,1,SCRAMBLE_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-2,Zone,6,900,2,2
2,10,9,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-2,Zone,8,772,3,1
1,10,60,2,I_FORM,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,POWER,0,Cover-6 Right,Zone,0,401,2,1
1,10,35,3,PISTOL,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,5,821,2,2
1,10,25,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,11,30,3,1
1,10,45,3,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover 6-Left,Zone,0,215,2,2
1,15,18,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,9,550,2,2
1,10,61,2,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-1,Man,12,866,3,1
1,10,32,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,TRICK,0,Cover-3,Zone,-1,809,2,2
2,6,71,2,SINGLEBACK,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,0,728,2,2
2,10,61,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,758,2,2
1,10,25,2,SINGLEBACK,0,,0,INSIDE_RIGHT,MAN,0,Quarters,Zone,5,795,3,1
2,5,5,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Red Zone,Other,5,679,2,1
2,2,98,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,689,2,2
2,10,45,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,108,2,2
2,10,19,2,SHOTGUN,0,TRADITIONAL,0,NONE,OUTSIDE ZONE,1,Cover-3,Zone,4,667,3,1
3,1,26,2,PISTOL,0,,0,INSIDE_LEFT,MAN,0,Cover-1,Man,4,713,3,1
3,1,46,1,SHOTGUN,0,DESIGNED_RUN,0,OUTSIDE_LEFT,COUNTER,0,Cover-3,Zone,4,696,1,1
2,5,66,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,9,655,3,1
2,2,62,4,I_FORM,1,TRADITIONAL,0,NONE,INSIDE ZONE,0,Cover-3,Zone,18,596,1,1
2,6,29,2,SHOTGUN,1,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,-5,852,2,2
3,4,70,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,0,797,3,1
3,1,71,2,SINGLEBACK,0,,0,OUTSIDE_LEFT,INSIDE ZONE,0,Cover-1,Man,0,721,2,2
2,2,33,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,2,575,3,1
2,8,55,3,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,15,471,3,1
2,4,70,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,MAN,1,Cover-3,Zone,3,564,2,2
1,10,28,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,-9,19,3,1
2,10,75,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,INSIDE ZONE,0,Cover 6-Left,Zone,5,543,3,1
3,4,45,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,7,108,3,1
1,10,71,4,SHOTGUN,0,,0,INSIDE_LEFT,PULL LEAD,0,Cover-1,Man,4,831,2,1
1,10,76,3,SHOTGUN,1,SCRAMBLE,0,NONE,NONE,0,Cover-3,Zone,2,251,2,2
2,8,55,2,SHOTGUN,0,,0,INSIDE_LEFT,COUNTER,0,Quarters,Zone,2,815,2,2
2,26,62,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,4,705,3,2
1,10,35,2,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover 6-Left,Zone,7,489,3,1
2,10,73,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,12,104,3,1
2,7,23,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,203,2,2
1,10,74,4,SHOTGUN,1,,0,INSIDE_LEFT,PULL LEAD,0,Quarters,Zone,4,207,2,1
1,10,75,5,SHOTGUN,0,TRADITIONAL,0,NONE,DRAW,1,Cover-2,Zone,8,600,3,1
1,10,44,3,PISTOL,1,SCRAMBLE,0,NONE,MAN,0,2-Man,Man,0,670,2,2
2,1,81,4,SHOTGUN,0,,0,OUTSIDE_LEFT,POWER,0,Quarters,Zone,-4,900,2,2
1,10,57,4,SINGLEBACK,0,,0,INSIDE_RIGHT,MAN,0,Cover-3,Zone,1,163,2,2
1,10,75,1,PISTOL,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Quarters,Zone,4,503,3,1
1,10,25,3,I_FORM,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,3,441,2,1
2,9,62,3,SHOTGUN,1,TRADITIONAL,0,NONE,POWER,0,Cover-3,Zone,6,535,2,2
1,10,22,1,SHOTGUN,0,DESIGNED_ROLLOUT_RIGHT,0,NONE,NONE,0,Cover-3,Zone,4,788,2,1
1,10,62,3,SINGLEBACK,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-3,Zone,0,296,3,1
1,10,46,4,SHOTGUN,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,447,2,1
1,10,12,1,SHOTGUN,0,,0,INSIDE_LEFT,MAN,0,Cover-3,Zone,1,397,2,2
